Epoch 0, loss = 0.183166876886, validation loss: 0.114184655048, W square = 1.8095112529
Epoch 1, loss = 0.111625570857, validation loss: 0.0905215290322, W square = 2.95545112357
Epoch 2, loss = 0.0888627234944, validation loss: 0.0800978341433, W square = 4.02430924359
Epoch 3, loss = 0.0774495368307, validation loss: 0.0741541446492, W square = 4.9989095619
Epoch 4, loss = 0.0702235177947, validation loss: 0.0702628327368, W square = 5.90020372373
Epoch 5, loss = 0.0650477173925, validation loss: 0.0675148533772, W square = 6.74952753996
Epoch 6, loss = 0.0610475641565, validation loss: 0.0654664656405, W square = 7.5585483703
Epoch 7, loss = 0.0578273799539, validation loss: 0.0638831420269, W square = 8.33430527151
Epoch 8, loss = 0.0551569051692, validation loss: 0.0626290969579, W square = 9.08177111075
Epoch 9, loss = 0.052887637501, validation loss: 0.0616171448881, W square = 9.80494468392
Epoch 10, loss = 0.0509203009592, validation loss: 0.0607868319044, W square = 10.5071513768
Epoch 11, loss = 0.0491876018527, validation loss: 0.0600953599199, W square = 11.1911278444
Epoch 12, loss = 0.0476425743556, validation loss: 0.0595121582838, W square = 11.8591103118
Epoch 13, loss = 0.0462510428171, validation loss: 0.0590150423699, W square = 12.5129402865
Epoch 14, loss = 0.044987051628, validation loss: 0.058587569246, W square = 13.1541652276
Epoch 15, loss = 0.0438302254891, validation loss: 0.0582172526434, W square = 13.7841157242
Epoch 16, loss = 0.0427642758011, validation loss: 0.0578943827412, W square = 14.403954783
Epoch 17, loss = 0.0417760837512, validation loss: 0.0576112625879, W square = 15.014706593
Epoch 18, loss = 0.0408550400125, validation loss: 0.0573617089674, W square = 15.6172745038
Epoch 19, loss = 0.0399925195299, validation loss: 0.0571407091976, W square = 16.2124544984
Epoch 20, loss = 0.0391814592354, validation loss: 0.0569441706419, W square = 16.800946832
Epoch 21, loss = 0.0384160253801, validation loss: 0.0567687303447, W square = 17.3833666174
Epoch 22, loss = 0.0376913557732, validation loss: 0.0566116075345, W square = 17.9602534991
Epoch 23, loss = 0.0370033612238, validation loss: 0.0564704884192, W square = 18.532080428
Epoch 24, loss = 0.0363485722764, validation loss: 0.0563434358097, W square = 19.0992615631
Epoch 25, loss = 0.0357240201958, validation loss: 0.0562288179264, W square = 19.6621593541
Epoch 26, loss = 0.035127143861, validation loss: 0.0561252520391, W square = 20.221090874
Epoch 27, loss = 0.0345557163884, validation loss: 0.0560315595992, W square = 20.7763334729
Epoch 28, loss = 0.0340077869145, validation loss: 0.0559467303054, W square = 21.3281298189
Epoch 29, loss = 0.0334816341378, validation loss: 0.0558698931513, W square = 21.876692385
Epoch 30, loss = 0.0329757290583, validation loss: 0.05580029297, W square = 22.4222074311
Epoch 31, loss = 0.0324887049662, validation loss: 0.0557372713366, W square = 22.9648385263
Epoch 32, loss = 0.0320193331693, validation loss: 0.0556802509568, W square = 23.5047296497
Epoch 33, loss = 0.0315665032797, validation loss: 0.0556287228628, W square = 24.0420079065
Epoch 34, loss = 0.0311292071279, validation loss: 0.0555822358865, W square = 24.5767858936
Epoch 35, loss = 0.0307065255627, validation loss: 0.0555403879879, W square = 25.1091637493
Epoch 36, loss = 0.0302976175489, validation loss: 0.0555028191012, W square = 25.6392309195
Epoch 37, loss = 0.0299017110924, validation loss: 0.0554692052242, W square = 26.1670676713
Epoch 38, loss = 0.029518095625, validation loss: 0.0554392535248, W square = 26.6927463853
Epoch 39, loss = 0.0291461155532, validation loss: 0.0554126982821, W square = 27.2163326543
Epoch 40, loss = 0.0287851647449, validation loss: 0.0553892975073, W square = 27.7378862129
Epoch 41, loss = 0.0284346817718, validation loss: 0.0553688301194, W square = 28.257461723
Epoch 42, loss = 0.0280941457689, validation loss: 0.0553510935728, W square = 28.775109434
Epoch 43, loss = 0.0277630728009, validation loss: 0.0553359018514, W square = 29.2908757375
Epoch 44, loss = 0.0274410126491, validation loss: 0.0553230837611, W square = 29.8048036304
Epoch 45, loss = 0.0271275459511, validation loss: 0.0553124814645, W square = 30.3169331031
Epoch 46, loss = 0.0268222816395, validation loss: 0.0553039492135, W square = 30.8273014608
Epoch 47, loss = 0.0265248546363, validation loss: 0.0552973522439, W square = 31.3359435923
Epoch 48, loss = 0.0262349237684, validation loss: 0.0552925658033, W square = 31.8428921922
Epoch 49, loss = 0.0259521698743, validation loss: 0.0552894742906, W square = 32.3481779455
Epoch 50, loss = 0.0256762940808, validation loss: 0.0552879704882, W square = 32.8518296809
Epoch 51, loss = 0.0254070162267, validation loss: 0.0552879548728, W square = 33.3538744981
Epoch 52, loss = 0.0251440734199, validation loss: 0.0552893349951, W square = 33.8543378745
Epoch 53, loss = 0.0248872187106, validation loss: 0.0552920249166, W square = 34.3532437558
Epoch 54, loss = 0.0246362198703, validation loss: 0.0552959446988, W square = 34.8506146321
Epoch 55, loss = 0.0243908582652, validation loss: 0.0553010199375, W square = 35.3464716062
Epoch 56, loss = 0.0241509278146, validation loss: 0.0553071813371, W square = 35.840834453
Epoch 57, loss = 0.0239162340272, validation loss: 0.0553143643221, W square = 36.3337216753
Epoch 58, loss = 0.0236865931081, validation loss: 0.05532250868, W square = 36.8251505571
Epoch 59, loss = 0.0234618311316, validation loss: 0.0553315582353, W square = 37.3151372149
Epoch 60, loss = 0.0232417832749, validation loss: 0.0553414605494, W square = 37.8036966511
Epoch 61, loss = 0.0230262931091, validation loss: 0.0553521666455, W square = 38.290842808
Epoch 62, loss = 0.0228152119456, validation loss: 0.0553636307563, W square = 38.7765886245
Epoch 63, loss = 0.0226083982336, validation loss: 0.0553758100908, W square = 39.2609460968
Epoch 64, loss = 0.0224057170091, validation loss: 0.0553886646211, W square = 39.743926341
Epoch 65, loss = 0.0222070393916, validation loss: 0.0554021568854, W square = 40.2255396595
Epoch 66, loss = 0.022012242128, validation loss: 0.0554162518064, W square = 40.7057956105
Epoch 67, loss = 0.0218212071816, validation loss: 0.0554309165237, W square = 41.1847030787
Epoch 68, loss = 0.0216338213635, validation loss: 0.055446120239, W square = 41.6622703483
